set3_id,DataVizRoles_collapsed,RoleAsFreelance,RoleAsEmployee,YearsDataVizExperience_buckets,PayCurrency_cleaned,PayAnnual,PayHourly,PayComparison,Loc1Country,OrgIndustry_,OrgIndustry_Finance,OrgIndustry_HealthMed,OrgIndustry_IT,OrgIndustry_Journalism,OrgIndustry_Marketing,OrgIndustry_ConsultantMulti,OrgIndustry_Other__,OrgSize,EmployChanged,EmployNewWanted,EducLevel,Gender_summarized
cbxo,Employee,Designer,Designer,1-5,EUR - Euro Member Countries,"$10,000 - $19,999",[^not answered],Similar,Portugal,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],"1,000–4,999 employees",No,No,Master’s (or similar graduate degree),Woman
EpFU,Freelance,[\unasked],"Leadership (Manager, Director, VP, etc.)",1-5,NOK - Norway Krone,[^not answered],$100 - $124,Similar,Norway,3,[^not chosen],[^not chosen],x,x,x,[^not chosen],[^not chosen],Fewer than 20 employees,No,No,[^not answered],Man
Xsvl,EmployeeANDFreelance,[\unasked],"Leadership (Manager, Director, VP, etc.)",6-10,EUR - Euro Member Countries,"$100,000 - $119,999",[^not answered],Somewhat higher,Germany,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],"1,000–4,999 employees",Yes,No,"Doctoral degree (e.g., PhD, EdD, PsyD)",Self-described or Prefer not to say
DPqH,Employee,Developer,Journalist,6-10,HUF - Hungary Forint,"$10,000 - $19,999",$45 - $59,Somewhat higher,Hungary,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],Fewer than 20 employees,No,No,Master’s (or similar graduate degree),Man
uOBj,Employee,[\unasked],Journalist,6-10,GBP - United Kingdom Pound,"$40,000 - $59,999",I am not compensated on an hourly or project basis,Somewhat lower,United Kingdom,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],500–999 employees,No,No,Master’s (or similar graduate degree),Woman
wAIe,Freelance,[\unasked],Journalist,6-10,EUR - Euro Member Countries,"$20,000 - $39,999",[^not answered],Somewhat lower,France,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],100–499 employees,No,Yes,Master’s (or similar graduate degree),Man
jOYm,EmployeeAND,[\unasked],Designer,6-10,EUR - Euro Member Countries,"$80,000 - $99,999",$125 - $149,Similar,Norway,3,[^not chosen],x,[^not chosen],x,[^not chosen],x,[^not chosen],Fewer than 20 employees,No,No,Master’s (or similar graduate degree),Woman
Yeib,FreelanceAND,[\unasked],Designer,1-5,CAD - Canada Dollar,"$40,000 - $59,999",I am not compensated on an hourly or project basis,Somewhat higher,Canada,3,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],x,Sustainable Development,Fewer than 20 employees,Yes,Yes,Bachelor’s degree,Man
xKzj,Freelance,Analyst,Journalist,1-5,RUB - Russia Ruble,"$20,000 - $39,999",$15 - $29,Somewhat higher,Russia,2,x,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],"5,000+ employees",Yes,No,Bachelor’s degree,Man
DwRY,Freelance,[\unasked],Designer,6-10,CAD - Canada Dollar,"$80,000 - $99,999",[^not answered],Somewhat lower,Canada,2,[^not chosen],[^not chosen],x,x,[^not chosen],[^not chosen],[^not chosen],"1,000–4,999 employees",No,Yes,Technical school,Man
GGJb,Freelance,[\unasked],"Leadership (Manager, Director, VP, etc.)",1-5,USD - United States Dollar,[^not answered],I am not compensated on an hourly or project basis,Somewhat lower,United States,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],Don’t know,No,No,Master’s (or similar graduate degree),Self-described or Prefer not to say
mAkS,OtherCombo,[\unasked],Journalist,6-10,SEK - Sweden Krona,"$20,000 - $39,999",[^not answered],Somewhat lower,Sweden,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],Fewer than 20 employees,No,No,Bachelor’s degree,Man
Knil,EmployeeAND,[\unasked],Designer,1,EUR - Euro Member Countries,"$40,000 - $59,999",[^not answered],Somewhat higher,Germany,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],500–999 employees,Yes,Yes,Master’s (or similar graduate degree),Woman
mTOs,Employee,[\unasked],Journalist,1-5,CHF - Switzerland Franc,"$100,000 - $119,999",I am not compensated on an hourly or project basis,Similar,Switzerland,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],500–999 employees,No,No,Master’s (or similar graduate degree),Man
MhTQ,Employee,Designer,Designer,6-10,BRL - Brazil Real,I am not compensated on a yearly basis,$45 - $59,Somewhat higher,Brazil,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],Fewer than 20 employees,No,No,Master’s (or similar graduate degree),Man
GlHi,Employee,[\unasked],Developer,1-5,INR - India Rupee,"$10,000 - $19,999",I am not compensated on an hourly or project basis,Much lower,India,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],"5,000+ employees",No,Yes,Master’s (or similar graduate degree),Man
BogN,Employee,[\unasked],Teacher,6-10,EUR - Euro Member Countries,"$100,000 - $119,999",[^not answered],Somewhat higher,Germany,2,[^not chosen],[^not chosen],x,x,[^not chosen],[^not chosen],[^not chosen],20–99 employees,No,No,Master’s (or similar graduate degree),Woman
CVXz,Academic,[\unasked],Journalist,6-10,USD - United States Dollar,"$100,000 - $119,999",$15 - $29,Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],"5,000+ employees",No,No,Master’s (or similar graduate degree),Woman
kjkG,Student,[\unasked],"Leadership (Manager, Director, VP, etc.)",1-5,GBP - United Kingdom Pound,"$60,000 - $79,999",[^not answered],[^not answered],United Kingdom,2,[^not chosen],[^not chosen],x,x,[^not chosen],[^not chosen],[^not chosen],20–99 employees,No,No,Bachelor’s degree,Man
vBHT,Freelance,[\unasked],Journalist,16-20,USD - United States Dollar,"$80,000 - $99,999",I am not compensated on an hourly or project basis,Somewhat higher,United States,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],100–499 employees,No,Yes,Bachelor’s degree,Woman
ZyJW,Freelance,[\unasked],Engineer,16-20,GBP - United Kingdom Pound,"$180,000 - $199,999",[^not answered],Much higher,United Kingdom,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],"5,000+ employees",No,No,Master’s (or similar graduate degree),Man
KXAu,Freelance,[\unasked],Journalist,21-25,RUB - Russia Ruble,"Less than $10,000",I am not compensated on an hourly or project basis,Somewhat lower,Russia,2,[^not chosen],[^not chosen],x,x,[^not chosen],[^not chosen],[^not chosen],"1,000–4,999 employees",No,No,Bachelor’s degree,Woman
vksj,Employee,Designer,Designer,6-10,SEK - Sweden Krona,[^not answered],$100 - $124,Similar,Sweden,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],Fewer than 20 employees,No,No,Master’s (or similar graduate degree),Man
ICgg,Employee,[\unasked],Journalist,6-10,USD - United States Dollar,"$80,000 - $99,999",[^not answered],Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],100–499 employees,No,Yes,Bachelor’s degree,Woman
nTDL,Employee,[\unasked],Designer,1-5,THB - Thailand Baht,"$10,000 - $19,999",[^not answered],Somewhat lower,Thailand,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],Fewer than 20 employees,No,Yes,Bachelor’s degree,Woman
KFzO,FreelanceAND,[\unasked],"Leadership (Manager, Director, VP, etc.)",1-5,USD - United States Dollar,"$140,000 - $159,999",I am not compensated on an hourly or project basis,Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],100–499 employees,No,No,Bachelor’s degree,Man
FKkG,Employee,[\unasked],None of these describes my role,11-15,EUR - Euro Member Countries,"$20,000 - $39,999",[^not answered],Similar,Portugal,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],20–99 employees,No,Yes,Bachelor’s degree,Man
UHIj,Hobbyist,[\unasked],Developer,1-5,USD - United States Dollar,"$100,000 - $119,999",[^not answered],Somewhat lower,United States,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],"5,000+ employees",No,Yes,Master’s (or similar graduate degree),Man
xIxX,Employee,[\unasked],"Leadership (Manager, Director, VP, etc.)",6-10,USD - United States Dollar,"$140,000 - $159,999",[^not answered],Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],100–499 employees,[\unfinished],[\unfinished],[\unfinished],[\unfinished]
rgWg,Employee,[\unasked],Journalist,6-10,USD - United States Dollar,"$100,000 - $119,999",I am not compensated on an hourly or project basis,Somewhat higher,United States,4,[^not chosen],[^not chosen],x,x,x,x,[^not chosen],Fewer than 20 employees,No,No,[\unfinished],[\unfinished]
yMeN,Freelance,[\unasked],Developer,1-5,NOK - Norway Krone,"$60,000 - $79,999",I am not compensated on an hourly or project basis,Similar,Norway,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],"1,000–4,999 employees",No,Yes,[\unfinished],[\unfinished]
IDNI,EmployeeANDFreelanceAND,[\unasked],Journalist,21-25,USD - United States Dollar,"$100,000 - $119,999",[^not answered],Similar,United States,3,x,[^not chosen],x,x,[^not chosen],[^not chosen],[^not chosen],"5,000+ employees",[\unfinished],[\unfinished],[\unfinished],[\unfinished]
dyXH,OtherCombo,[\unasked],Scientist,Less than 1 year,USD - United States Dollar,"$140,000 - $159,999",I am not compensated on an hourly or project basis,Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],"5,000+ employees",No,No,"Doctoral degree (e.g., PhD, EdD, PsyD)",Woman
qjSz,Freelance,[\unasked],"Leadership (Manager, Director, VP, etc.)",Less than 1 year,USD - United States Dollar,[^not answered],[^not answered],[^not answered],United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],Fewer than 20 employees,No,No,Master’s (or similar graduate degree),Woman
eqlG,Employee,[\unasked],"Leadership (Manager, Director, VP, etc.)",1-5,NZD - New Zealand Dollar,"$100,000 - $119,999",[^not answered],Somewhat higher,New Zealand,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Housing,100–499 employees,No,No,Bachelor’s degree,Man
gLge,Employee,[\unasked],Analyst,1-5,USD - United States Dollar,"$100,000 - $119,999",I am not compensated on an hourly or project basis,Much lower,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Manufacturing,"1,000–4,999 employees",No,Yes,Master’s (or similar graduate degree),Man
pjJI,FreelanceAND,[\unasked],"Leadership (Manager, Director, VP, etc.)",Less than 1 year,USD - United States Dollar,"$120,000 - $139,999",I am not compensated on an hourly or project basis,Somewhat lower,United States,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],"5,000+ employees",No,Yes,Bachelor’s degree,Man
Hjto,Hobbyist,[\unasked],Designer,1-5,USD - United States Dollar,"$120,000 - $139,999",I am not compensated on an hourly or project basis,Somewhat higher,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Aerospace,"5,000+ employees",No,No,Bachelor’s degree,Woman
teng,Freelance,[\unasked],Analyst,6-10,DKK - Denmark Krone,"$80,000 - $99,999",$125 - $149,Similar,Denmark,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],"5,000+ employees",No,Yes,Master’s (or similar graduate degree),Man
RdnO,Student,[\unasked],Analyst,Less than 1 year,EUR - Euro Member Countries,"$20,000 - $39,999",$45 - $59,Somewhat lower,Greece,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],"1,000–4,999 employees",No,No,Master’s (or similar graduate degree),Woman
FDUs,OtherCombo,Designer,Developer,1-5,USD - United States Dollar,[^not answered],$15 - $29,Similar,Nigeria,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],Fewer than 20 employees,No,Yes,Bachelor’s degree,Woman
VwYR,Freelance,[\unasked],None of these describes my role,1-5,CAD - Canada Dollar,"$80,000 - $99,999",[^not answered],Much higher,Canada,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],500–999 employees,No,Yes,Master’s (or similar graduate degree),Woman
LShY,Freelance,[\unasked],"Leadership (Manager, Director, VP, etc.)",Less than 1 year,USD - United States Dollar,"$120,000 - $139,999",[^not answered],Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Regulatory organization,100–499 employees,No,Yes,Master’s (or similar graduate degree),Man
Qveb,EmployeeANDFreelanceAND,[\unasked],Analyst,1-5,USD - United States Dollar,"$100,000 - $119,999",[^not answered],Somewhat higher,United States,2,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],Public health,100–499 employees,No,No,Master’s (or similar graduate degree),Woman
uAKg,EmployeeAND,[\unasked],None of these describes my role,1-5,USD - United States Dollar,"$80,000 - $99,999",I am not compensated on an hourly or project basis,Somewhat lower,United States,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],20–99 employees,No,Yes,Bachelor’s degree,Woman
Ejoy,EmployeeAND,Teacher,Analyst,1-5,USD - United States Dollar,"$60,000 - $79,999",[^not answered],Much higher,Uruguay,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Mobile Gaming,500–999 employees,No,Yes,Bachelor’s degree,Man
gVdO,Employee,[\unasked],Developer,11-15,USD - United States Dollar,"$80,000 - $99,999",[^not answered],Somewhat higher,Hungary,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],Fewer than 20 employees,Yes,No,Bachelor’s degree,Woman
RLym,Employee,[\unasked],Developer,1-5,HKD - Hong Kong Dollar,"$40,000 - $59,999",I am not compensated on an hourly or project basis,Somewhat higher,China,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],"5,000+ employees",Yes,Yes,Master’s (or similar graduate degree),Self-described or Prefer not to say
KIeq,Student,[\unasked],Teacher,6-10,USD - United States Dollar,"$40,000 - $59,999",[^not answered],Somewhat lower,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Informal Education,20–99 employees,No,No,Bachelor’s degree,Woman
VIPI,Academic,[\unasked],Analyst,6-10,AUD - Australia Dollar,"$80,000 - $99,999",[^not answered],Similar,Australia,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Local government,"1,000–4,999 employees",No,Yes,Master’s (or similar graduate degree),Woman
KGkU,Employee,[\unasked],Analyst,6-10,USD - United States Dollar,"$140,000 - $159,999",[^not answered],Somewhat higher,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Media,"5,000+ employees",No,No,Bachelor’s degree,Woman
EeEU,Hobbyist,[\unasked],Analyst,Less than 1 year,USD - United States Dollar,"$60,000 - $79,999",[^not answered],Somewhat lower,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],20–99 employees,No,No,Master’s (or similar graduate degree),Woman
mVCw,Freelance,[\unasked],Analyst,6-10,USD - United States Dollar,"$40,000 - $59,999",I am not compensated on an hourly or project basis,Somewhat lower,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Non-profit program evaluation,20–99 employees,No,Yes,Bachelor’s degree,Woman
Pxum,Hobbyist,[\unasked],"Leadership (Manager, Director, VP, etc.)",1-5,EUR - Euro Member Countries,"$60,000 - $79,999",[^not answered],Somewhat higher,Bulgaria,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],100–499 employees,No,No,Master’s (or similar graduate degree),Man
rNCA,Freelance,[\unasked],"Leadership (Manager, Director, VP, etc.)",1-5,MXN - Mexico Peso,"$60,000 - $79,999",I am not compensated on an hourly or project basis,Much higher,Mexico,2,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],100–499 employees,Yes,No,Master’s (or similar graduate degree),Man
jCVA,Employee,[\unasked],Scientist,6-10,CAD - Canada Dollar,"$40,000 - $59,999",[^not answered],Much lower,Canada,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Gaming,20–99 employees,No,Yes,Master’s (or similar graduate degree),Man
PrzR,Hobbyist,[\unasked],Designer,6-10,USD - United States Dollar,"$140,000 - $159,999",I am not compensated on an hourly or project basis,Similar,United States,3,[^not chosen],x,x,[^not chosen],[^not chosen],x,[^not chosen],20–99 employees,No,No,Bachelor’s degree,Woman
hUSs,Employee,[\unasked],Scientist,6-10,USD - United States Dollar,"$100,000 - $119,999",I am not compensated on an hourly or project basis,Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Transportation,"1,000–4,999 employees",No,No,Some college,Man
oqFz,EmployeeANDFreelance,[\unasked],Analyst,6-10,EUR - Euro Member Countries,"$40,000 - $59,999",I am not compensated on an hourly or project basis,Similar,Netherlands,2,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Insurance,"5,000+ employees",Yes,No,Master’s (or similar graduate degree),Woman
wGHt,FreelanceAND,[\unasked],Engineer,6-10,USD - United States Dollar,"$120,000 - $139,999",[^not answered],Similar,United States,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],20–99 employees,No,No,Master’s (or similar graduate degree),Man
NinE,EmployeeAND,Developer,"Leadership (Manager, Director, VP, etc.)",11-15,EUR - Euro Member Countries,"$60,000 - $79,999",$75 - $99,Somewhat higher,Portugal,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Energy Industry,"5,000+ employees",Yes,Yes,Master’s (or similar graduate degree),Man
vndc,EmployeeANDFreelanceAND,[\unasked],Analyst,1-5,GBP - United Kingdom Pound,"$40,000 - $59,999",I am not compensated on an hourly or project basis,Much higher,United Kingdom,2,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],AdTech,20–99 employees,No,No,Some college,Man
mXDB,Employee,[\unasked],Developer,6-10,GBP - United Kingdom Pound,"$60,000 - $79,999",I am not compensated on an hourly or project basis,Similar,United Kingdom,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],Fewer than 20 employees,No,Yes,Bachelor’s degree,Man
tCEP,Freelance,[\unasked],Developer,11-15,USD - United States Dollar,"$100,000 - $119,999",[^not answered],Similar,United States,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],"1,000–4,999 employees",No,No,Bachelor’s degree,Man
WOGt,FreelanceAND,[\unasked],Analyst,1-5,GBP - United Kingdom Pound,"$40,000 - $59,999",[^not answered],Somewhat lower,United Kingdom,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],"5,000+ employees",No,Yes,High school diploma,Woman
YDdV,EmployeeAND,[\unasked],Analyst,1-5,USD - United States Dollar,"$80,000 - $99,999",I am not compensated on an hourly or project basis,Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Manufacturing,"1,000–4,999 employees",Yes,No,Master’s (or similar graduate degree),Woman
KunD,Academic,None of these describes my role,None of these describes my role,6-10,USD - United States Dollar,"$200,000 - $219,999",I am not compensated on an hourly or project basis,Similar,United States,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],500–999 employees,No,Yes,"Doctoral degree (e.g., PhD, EdD, PsyD)",Man
kFJT,Freelance,[\unasked],Analyst,16-20,USD - United States Dollar,"$140,000 - $159,999",[^not answered],Somewhat higher,United States,5,x,x,x,[^not chosen],x,x,[^not chosen],"5,000+ employees",No,Yes,Master’s (or similar graduate degree),Woman
